user_id,term_id,customer_id,startDate,nextBillingDate,preBillingDate,paymentMethodToken
1000095,TM3EGFOZHFSG,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMDECA4FVIJZ,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMGK831P8V55,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMHS83D15U8W,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMKURHFDLJPN,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMMYO8A324CI,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMWSADZWG38U,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMY4IZRW5MCR,,05/12/2016,05/11/2019,05/12/2016,
1000095,TMYI61QAO7QE,,05/12/2016,05/11/2019,05/12/2016,
1001230,TM3EGFOZHFSG,,03/01/2018,02/28/2019,03/01/2018,
1001230,TM72MSQ07SI5,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMDECA4FVIJZ,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMGK831P8V55,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMHS83D15U8W,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMMYO8A324CI,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMWSADZWG38U,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMY4IZRW5MCR,,03/01/2018,02/28/2019,03/01/2018,
1001230,TMYI61QAO7QE,,03/01/2018,02/28/2019,03/01/2018,
1001301,TM3EGFOZHFSG,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMDECA4FVIJZ,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMGK831P8V55,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMHS83D15U8W,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMMYO8A324CI,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMWSADZWG38U,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMY4IZRW5MCR,,11/30/2017,11/30/2018,11/27/2017,
1001301,TMYI61QAO7QE,,11/30/2017,11/30/2018,11/27/2017,
1001551,TMYI61QAO7QE,,12/27/2017,12/26/2018,12/27/2017,
1001551,TMZ5XJ8B7XF4,,12/27/2017,12/26/2018,12/27/2017,
1001567,TM3EGFOZHFSG,,07/24/2018,07/23/2019,07/24/2018,
